가게명,별점,주소,카테고리,위도,경도
현완단겸상추튀김 양림점,4.28,광주 동구 제봉로190번길 7-2,"백반,가정식",35.1540646699292,126.917487724184
오복미역 수완점,4.16,광주 서구 계수로59번길 4,한식,35.160626656994,126.85734706965
다복천백반,4.39,광주 동구 구성로194번길 25,추어탕,35.1515429572356,126.916208218386
노릇노릇식당,4.54,광주 광산구 신창로 34 상가동 103호,"백반,가정식",35.1882933786174,126.837282958976
정든밥상,4.72,광주 광산구 월전로 4-7,"백반,가정식",35.1204199207379,126.778564603041
동명동 잇차,,광주 북구 용주로30번길 64-1 1층 엄마손맛나름,"백반,가정식",35.1806844403639,126.904319231112
가득 밥먹는집,0.0,광주 광산구 상무대로 308,"백반,가정식",35.1433261338574,126.799699695797
송해반점,4.21,광주 북구 동문대로112번길 4,해장국,35.1729789136229,126.92562323286
장흥밥집,,광주 서구 상무대로 915-6,"백반,가정식",35.1514865038366,126.862167144175
오붓한시간,4.7,광주 광산구 하남울로공원2길 22 1층,"백반,가정식",35.1825105646183,126.804383526283
광주밥집,4.2,광주 북구 무등로 183,"백반,가정식",35.1660976807217,126.903970361187
잘먹었습니다,4.27,광주 북구 호동로 21-3,"백반,가정식",35.1752822625256,126.914969505348
보돌미역 유스퀘어점,4.59,광주 북구 우치로27번길 8,"백반,가정식",35.1702980310744,126.910716344653
좋은국밥,4.56,광주 광산구 광산로20번길 28,"백반,가정식",35.1371874934512,126.794469918581
해뜨는집,4.57,광주 동구 밤실로 20-1,"백반,가정식",35.1494468870951,126.937133216976
연탄찝게,4.18,광주 동구 중앙로196번길 11,한식,35.1499969606194,126.917150856515
해남집,4.79,광주 광산구 손재로 327,"백반,가정식",35.1942824291802,126.793633911942
강원도신황태찜,4.34,광주 동구 필문대로287번길 15-3 1층,"백반,가정식",35.1454308527931,126.928636571326
양림골,,광주 서구 유덕로27번길 27,"백반,가정식",35.1635619895737,126.851470886945
데어이즈,,광주 동구 중앙로196번길 29,한식,35.1489763178278,126.918566471216
엄마밥상,4.32,광주 광산구 왕버들로 217,"백반,가정식",35.1985646642434,126.833899138003
열린식당,,광주 북구 서방로81번길 27,"백반,가정식",35.1725165422575,126.922499922684
통큰돈가스,4.49,광주 동구 필문대로205번길 29-2,"백반,가정식",35.1520224716438,126.934479210391
미향식당,4.29,광주 서구 상무대로1005번길 17-2,"백반,가정식",35.1534031388411,126.871671519915
우리엄마백반,,광주 남구 대남대로293번길 2 문패션,"백반,가정식",35.1383819346926,126.895373563672
진곡식당,4.32,광주 북구 천변우로257번길 25,"백반,가정식",35.1557769241178,126.904179165304
시골밥상,,광주 동구 충장로 4,"백반,가정식",35.1526822592215,126.909540004085
신신식당,4.47,광주 서구 죽봉대로97번길 5,"백반,가정식",35.1623728766788,126.882740379111
풍미식당,4.37,광주 북구 송월로40번길 62,"백반,가정식",35.1872205650551,126.916816539545
산수모밀,4.21,광주 북구 무등로202번길 15,"백반,가정식",35.164534428835,126.906705635137
청진동해장국,4.19,광주 서구 내방로230번길 4,"백반,가정식",35.1576472773555,126.86543763061
양림골집밥,,광주 동구 동계천로 47-1,"칼국수,만두",35.1547217899513,126.917529534053
비니찬,,광주 동구 구성로194번길 21-1,한식,35.1517122858024,126.915894500115
진식당,3.97,광주 광산구 첨단중앙로124번길 51,"백반,가정식",35.2166619276469,126.845136235836
죽사랑김밥사랑광주점,4.53,광주 동구 남문로 582,"백반,가정식",35.1230379501149,126.93277968954
범두정,4.39,광주 동구 구성로194번길 28,한식,35.1513046119305,126.916171258978
옛날거그,,광주 북구 연양로28번길 27 상가동 103호 옛날거그,"백반,가정식",35.2048111542755,126.871064122969
고래등한식뷔페,0.0,광주 동구 백서로167번길 4,"백반,가정식",35.1439582206882,126.92320187818
내고향다슬기,4.13,광주 광산구 목련로394번길 50,"백반,가정식",35.1836100698532,126.835311373486
청암돌솥밥,4.22,광주 서구 하남대로734번길 13,"백반,가정식",35.1700356197385,126.872935857466
황제백반,,광주 서구 상무대로916번길 8 싸인,"백반,가정식",35.150256563228,126.862215859462
먹자판,,광주 동구 동계천로 42-1,추어탕,35.1547932656487,126.91673563827
이모네,4.45,광주 동구 필문대로287번길 23-16 2층,한식,35.1454629426394,126.929874055886
행복한밥상,4.5,광주 북구 신임로 19,"백반,가정식",35.1653546636096,126.89808917814
옥반 돈뼈,4.33,광주 동구 구성로 224,한식,35.1548291458806,126.916351914626
만복식당,4.39,광주 북구 군왕로8번길 17,"백반,가정식",35.1618484122526,126.930657399686
달수기사님식당말바우점,,광주 서구 무진대로 904 유스퀘어(광천터미널),"백반,가정식",35.1605756425809,126.879873116288
송죽,,광주 남구 제중로 41 BHC치킨,한식,35.1382446399123,126.913908669991
대접,4.44,광주 광산구 평동산단로 192,"백반,가정식",35.1239782285578,126.768528150205
정가네손맛,,광주 동구 예술길 19-7,국밥,35.1503946029725,126.918691483739
해뜨는식당,,광주 북구 서방로 78,"육류,고기요리",35.1714952491714,126.921019289579
맛있는밥집 쌍촌본점,4.09,광주 서구 월드컵4강로 230,"백반,가정식",35.1566339203078,126.869596840344
부길추어탕전문,4.13,광주 동구 무등로375번길 6-1,"백반,가정식",35.1611193411937,126.923817632437
현미네국한그릇,4.29,광주 동구 제봉로194번길 15,"육류,고기요리",35.1544143282756,126.917121904479
한울정,,광주 북구 서방로 42,"백반,가정식",35.1727252665889,126.917539789793
엄마손맛나름,,광주 동구 필문대로205번길 5-30,"백반,가정식",35.1532078984479,126.93227078582
보글보글백반집,,광주 서구 화운로303번길 12,"백반,가정식",35.1664758324541,126.876013962073
조은식당,,광주 북구 우치로241번길 36,"백반,가정식",35.1864274251354,126.903068438138
세무서앞복덩어리,4.44,광주 북구 중흥로 151-12,"백반,가정식",35.1626794196261,126.910511954646
하남골,4.45,광주 서구 쌍촌로65번길 25,"백반,가정식",35.1501406936349,126.861780810287
자매이야기식당,,광주 광산구 평동산단1번로 157,"백반,가정식",35.137658827054,126.773636178324
플래닛7,4.79,광주 북구 우치로238번길 26,"백반,가정식",35.1865664714109,126.906582416093
꾸이꾸이,,광주 북구 태봉로 9,"백반,가정식",35.1599745834725,126.900853319097
골목식당,4.57,광주 동구 필문대로287번길 24-28,"백반,가정식",35.1443086048778,126.92978078263
